nse,bse,isin
IOLCP,524164,INE485C01011
IPAPPM,502330,INE435A01028
IPCALAB,524494,INE571A01020
IRB,532947,INE821I01014
ISFT,533181,INE566K01011
ISMTLTD,532479,INE732F01019
ITC,500875,INE154A01025
ITDC,532189,INE353K01014
ITDCEM,509496,INE686A01026
ITI,523610,INE248A01017
IVC,511208,INE050B01023
IVP,507580,INE043C01018
IVRCLINFRA,530773,INE875A01025
IZMO,532341,INE848A01014
J&KBANK,532209,INE168A01041
JAGRAN,532705,INE199G01027
JAGSNPHARM,507789,INE048B01027
JAIBALAJI,532976,INE091G01018
JAICORPLTD,512237,INE070D01027
JAIHINDPRO,531339,INE343D01010
JAINSTUDIO,532033,INE486B01011
JAMNAAUTO,520051,INE039C01024
JAYAGROGN,524330,INE785A01026
JAYBARMARU,520066,INE571B01028
JAYNECOIND,522285,INE854B01010
JAYSREETEA,509715,INE364A01020
JBCHEPHARM,506943,INE572A01028
JBFIND,514034,INE187A01017
JBMA,532605,INE927D01028
JCHAC,523398,INE782A01015
JENSONICOL,523592,INE819B01021
JETAIRWAYS,532617,INE802G01018
JHS,532771,INE544H01014
JINDALPHOT,532624,INE796G01012
JINDALPOLY,500227,INE197D01010
JINDALSAW,500378,INE324A01024
JINDALSTEL,532286,INE749A01030
JINDCOT,533103,INE904J01016
JINDRILL,511034,INE742C01031
JINDWORLD,531543,INE247D01013
JISLDVREQS,570004,IN9175A01010
JISLJALEQS,500219,INE175A01038
JITFINFRA,540311,INE863T01013
JKCEMENT,532644,INE823G01014
JKIL,532940,INE576I01022
JKLAKSHMI,500380,INE786A01032
JKPAPER,532162,INE789E01012
JKTYRE,530007,INE573A01042
JMCPROJECT,522263,INE890A01016
JMFINANCIL,523405,INE780C01023
JMTAUTOLTD,513691,INE988E01036
JPASSOCIAT,532532,INE455F01025
JPINFRATEC,533207,INE099J01015
JPOLYINVST,536773,INE147P01019
JPPOWER,532627,INE351F01018
JSL,532508,INE220G01021
JSLHISAR,539597,INE455T01018
JSWENERGY,533148,INE121E01018
JSWHL,532642,INE824G01012
JSWSTEEL,500228,INE019A01038
JUBILANT,530019,INE700A01033
JUBLFOOD,533155,INE797F01012
JUBLINDS,533320,INE645L01011
JUSTDIAL,535648,INE599M01018
JVLAGRO,519248,INE430G01026
JYOTHYLAB,532926,INE668F01031
JYOTISTRUC,513250,INE197A01024
KABRAEXTRU,524109,INE900B01029
KAJARIACER,500233,INE217B01036
KAKATCEM,500234,INE437B01014
KALPATPOWR,522287,INE220B01022
KALYANIFRG,513509,INE314G01014
KAMATHOTEL,526668,INE967C01018
KAMDHENU,532741,INE390H01012
KANANIIND,506184,INE879E01037
KANORICHEM,506525,INE138C01024
KANSAINER,500165,INE531A01024
KARMAENG,533451,INE725L01011
KARURVYSYA,590003,INE036D01028
KAUSHALYA,532925,INE234I01010
KAVVERITEL,590041,INE641C01019
KAYA,539276,INE587G01015
KCP,590066,INE805C01028
KCPSUGIND,533192,INE790B01024
KDDL,532054,INE291D01011
KEC,532714,INE389H01022
KECL,533193,INE134B01017
KEI,517569,INE878B01027
KELLTONTEC,519602,INE164B01022
KERNEX,532686,INE202H01019
KESARENT,507180,INE133B01019
